"Feature name","Used in cyweb","Fully supported in cyjs v4","Comments/details","Category","Cyjs v3 API / properties","Works unchanged in v4","Cyweb evidence (repo-relative)","Cyjs v4 evidence (repo-relative)","Verification"
"Grid layout","Yes","Yes","Built-in grid supports cyweb boundingBox 1000x1000, padding 30 and condense toggle. Shared completion listener still needs migration.","Layout","grid; boundingBox; padding; condense","No: shared layout adapter","src/models/LayoutModel/impl/Cyjs/Algorithms/grid.ts","src/layout/grid.mts","Source review + headless probe (see README)"
"Circle layout","Yes","Yes","Built-in circle supports radius 1000 and spacingFactor 1. Recheck positions and overlap spacing after porting the common adapter.","Layout","circle; radius; spacingFactor","No: shared layout adapter","src/models/LayoutModel/impl/Cyjs/Algorithms/circle.ts","src/layout/circle.mts","Source review + headless probe (see README)"
"Concentric layout","Yes","No (partial)","Built-in exists and spacingFactor works, but v4 changes overlap/ring packing. Cyweb passes width/height 1000; both installed v3 and v4 declare but do not read those fields. Use boundingBox if a fixed area is intended. This option issue predates v4.","Layout","concentric; width; height; spacingFactor","No","src/models/LayoutModel/impl/Cyjs/Algorithms/concentric.ts","src/layout/concentric.mts","Source review + headless probe (see README)"
"CoSE layout","Yes","No","Not ported. Current name cose throws. v4 force is a different algorithm, not full CoSE compatibility.","Layout","cose","No","src/models/LayoutModel/impl/Cyjs/Algorithms/cose.ts","MIGRATING.md; src/core.mts","Source review + headless probe (see README)"
"CoSE tuning controls","Yes","No","Cyweb exposes nodeDimensionsIncludeLabels, numIter, gravity, initialTemp, coolingFactor and minTemp; also sets nodeOverlap and boundingBox. Do not forward these wholesale to force. Redesign and validate the controls against force options.","Layout","CoSE parameters","No","src/models/LayoutModel/impl/Cyjs/Algorithms/cose.ts","src/layout/force.mts; src/public-types.mts","Source review"
"Biological Flow layout","Yes","No","cytoscape-biological-flow is registered as biological-flow (UI/model key bionodes). v4 has no use() registry or this built-in. Port to LayoutContext or evaluate flow; equivalent output is unverified.","Layout","cytoscape.use(biologicalFlow); biological-flow","No","src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts; src/models/LayoutModel/impl/Cyjs/Algorithms/biologicalFlow.ts","src/layout/contract.mts; src/layout/flow.mts","Source review + headless probe (see README)"
"Layout completion events","Yes","No","cyweb calls cyLayout.on(layoutstop) before run(). v4 layout instances are not emitters. Attach a one-shot core listener before run, or use the appropriate completion API. This blocks every cyjs layout even when its algorithm exists.","Layout","layout.on; layout.run; layoutstop","No","src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts","src/core.mts; src/layout/grid.mts","Source review + headless probe (see README)"
"Headless layout execution","Yes","Yes","Temporary headless core, node/edge definitions, position collection and destroy are supported. No WebGPU needed for this path.","Layout","headless; nodes; position; destroy","No: registration and listener changes","src/models/LayoutModel/impl/Cyjs/cyjsLayout.ts","src/core.mts; src/layout/contract.mts","Source review"
"Selected-subgraph layout","No direct usage found","N/A","Current Layout menu and layout API pass the target network nodes/edges, not selected-only collections. The engine can accept arrays but that alone is not evidence of a selected-subgraph UI feature.","Layout","eles.layout; selected-only layout","N/A","src/features/ToolBar/LayoutMenu/index.tsx; src/app-api/core/layoutApi.ts","src/collection.mts","Source review"
"Default layout routing","Yes (cyweb-owned)","Yes","Below 1000 total elements cyweb chooses G6 gForce, or G6 dagre for hierarchies. At/above 1000 it chooses cyjs grid, subject to the configured maximum. Migrating CoSE alone would not migrate the default layout path.","Layout","getDefaultLayout","No: cyjs grid adapter","src/models/LayoutModel/impl/layoutSelection.ts","src/layout/grid.mts","Source review"
